	sentiment	sentence
4	0	matter of fact you all ignore me till i involve your hr managers and then you call me with new sets of promises airtel and now you have blocked my number no one is able to reach me but i can make calls and its not even an issue of the phone 
6	0	airtel i bought voice bundle using twice yesterday on airtel money my credit are reduced but i did not receive my package up to now yours ian k 
33	0	airtel how do i remove voicemail because its hindering me from making phone calls 
68	0	nbstv airtel please go to a place called bighanga in buhweju district there is no network only at one particular point 
69	0	airtel thanks but try to up your network here in kapchorwa because its really bad 
70	0	airtel your internet network g has been acting up could this be the reason as you raced to you eroded quality 
71	0	airtel no network in ayuu anaka lamwo district so we dont know about it 
73	0	nasasiraarnold airtel how absurd that i dont have airtel signal just around twins in mutungo so i cant dream of g 
74	0	nbstv airtel this is a lie just here in buziga we have network issues 
75	0	airtel in my village found in ngora your network is very poor i cant make calls while am there for people in villages making phone calls is he most important thing kindly improve on that first then the party will begin 
76	0	nbstv airtel when network just around kampala is poor first upgrade uo g before convincing ue to do a good g period 
89	0	airtel uccofficial whereas we note that you have advised us the whole country is g covered kindly note that the network is very slow secondly having a clear call btn airtel to airtel is now a luxury and chance due to poor network please improve your signals 
90	0	airtel was that what was up with the g mifi network last night and some of today 
91	0	airtel does this improve the network because the network in areas of nsangi and maya is terriblemost especially maya 
92	0	airtel improve on your network services which of recent has become problematic 
97	0	airtel g but not every where your coverage is still poor just here at busega imagine 
99	0	airtel so am i the only one whose airtel network has been acting up over the last couple of weeks like literally i load a gb and half of the time it is too slow and i have to wait for things to load choka nga g 
107	0	airtel fix the network in makindye area its so poor 
108	0	airtel everywhere seem not around lake bunyonyi as tourist move around holding their devices up looking for better signalits our wish you consider projecting more reliable systems to property cover the areas especially the islands 
112	0	airtel extend more in villages we suffer when we visit those remote areas 
113	0	airtel recently i was in buhweju district but the network was up en dwn 
115	0	airtel are yu guys serious fuuucccckkkkkkkkk 
118	0	airtel why dont you say these things before we spend our money 
135	0	airtel ehhhhh does g mean mbs last for only minutes keycapten 
139	0	airtel why would this twitter video buffer on g location total nakawa mdairtelug 
142	0	airtel u need to first make your data bundles user friendly 
144	0	poor connection in naggalama mukono esp the internet this has been the case since nov airtel 
152	0	airtel why is it that i cant get my data that ive paid for just subscribed for a bundle money was deducted though bundle not delivered for how long shall we stand this thuggery uccofficial 
153	0	airtel i already upgraded got informed by customer care that ull upload my gb in hrs however today is the th daywhats wrong 
159	0	hey airtel am i losing my mind or was gb last week and now it is gb for the same price 
162	0	so airtel you brought g to screw our internet stuff is slow afwe cant even watch a status on these streetsmwebellelemu 
168	0	andsjeff like i said before who launches g network when the g in and around most areas in kampala goes e is trying to use their phone airtel we aint buying this 
174	0	airtel but slow yet i swapped it for g almost years ago 
175	0	airtel you and your net is garbage 
176	0	airtel its garbage wtf speed and service 
177	0	airtel you also dont have g through out 
179	0	airtel your internet is so badinstead of sending us upgrade to g text messagescan you please try to fix your internet connectivity so that we can stop doubting our phones and locationsand actually utilize the data we buyfix this please thanks and warm regards 
181	0	my phone is indicating g but downloading at kbs i knew this was a gimmick airtel 
183	0	konka airtel mwayanga okumpereza data wangye since last time of g upgrade tinkafunirehaza the patience is now in hospital please talk on this matter 
184	0	airtel my confession i bought a gb daily data last week but till date it hasnt expired pliz im fasting so i dont want to cheat a whole telcom co 
185	0	airtel for whatever reason my airtel internet has stopped working tried ur customer care help line they said they would send airtel settings and none of that worked i have tried the line in various devices same problem need help 
186	0	airtel its weeks nowi upgraded my simcard and you havent sent my gbplease do the needful before i tell bosco 
190	0	papidanny airtel should first give you free data just wishing you a birthday isnt enough joy 
191	0	airtel am still waiting for my g gb data 
193	0	airtel you also reduce on the rate at which you consume our data bundles consumers are really not protected but cheated always tuli banyivu 
194	0	airtel u lied to us bout the gb for upgrading to g 
195	0	airtel updated my sim card but didnt see any data 
197	0	airtel why is my data running so fast even with background fata restricted 
198	0	airtel today i upgraded my line to g but i didnt receive the gb so i decided to call the customer care help linethe first time a lady picked up and told me that its bse my phone doesnt support g the second time a guy picked up and told me that i should wait for hrs 
200	0	airtel u guys have started cheating us of our mbs the way theyre being consumed is uneven 
203	0	dear airtel am still waiting for my gb data a whole u cant promise air joy 
205	0	airtel why does it display g after replacing it with sim card g wow what a waste of time same slow network as before and still g 
208	0	airtel i loaded a days gb before i slept and it was used up when i woke up sleepy 
210	0	airtel hmmmm the feeling when you buy a data bundle of k mbs and in just mins its done 
211	0	but airtel your gb runs out so fast aisheee 
212	0	airtel the feelings epoch is just like chicken sex with in seconds you have used of your daily data bundle 
214	0	airtel but one can hardly use the bonus cause the internet is so slow then disappointedrelieved 
215	0	airtel airtel internet is so slow in my area i can hardly do anything online one has to look for a unique spot just like those olden days yet am within kampala 
220	0	airtel the rate at which your data is depleted these days is for world cup 
222	0	airtel this is out of the ordinary same usage as before but rate at which the data is depleted is outrageous 
223	0	airtel because of g the gb failed to work that friend bought metried visiting airtel centers but got nothing untill it expired 
225	0	airtel so is that free and have spent a week without getting my gb airtel 
226	0	please airtel take down this advert where u are lieinh to us that when one switches to g gb is given now after days of getting be patient messages in ma dm today one ms christine calls me and tells me it wont be possible dont you think this is fraud of some nature 
227	0	so now airtel tells us the whole country can access g network yet just been in hoima and theres areas which even you struggle to have g does uccofficial follow up on these companies before they advertise smthing to avoid lies oba only mind about political things 
229	0	airtel wishing the bonus was not limited to midnight for us who buy monthly bundles confused 
244	0	airtel hey my number says wrong number when someone calls it can u pliz help my number is 
296	0	josephowino airtel but i subscribed to it last evening network is poor i dont know if its deliberate 
297	0	airtel thank you for the g network but sort your network issues its always better to have a poor reliable network done a very unreliable supper high quality network facewithheadbandage cry pout 
299	0	airtel why is yo network so fake on weekends remove yo freeky friday data offers n stabilise the network 
302	0	airtel even after failing to send my gb g upgrade data the network is just poor let them send my data also 
303	0	airtel earlier this week i was in napak moroto and kotido and your coverage was poor misleading advert you got disappointed 
310	0	airtel some serious network issues in and around naalya kiwatule internet extremely slow whats happening 
311	0	airtel there was no network below is a pic of our work convoy from napa to kotido 
326	0	airtel your slogan should be slowest and most useless network of uganda from pm onwards the g turns to g throughout the country 
331	0	evelynnakayi yiii uganda is a curse the govt is treating us in its own way see the media taxes and other issues now also airtel also comes in to disorganise the network 
361	0	airtel i just have to accept that i was cheated and move on and the perpetrators know it but am not satisfied at all with your explanation 
415	0	solomonkibz very truei use airtel data because my phone is a single line sob and all my contacts use airtelnaye the day i afford a second iphoneto hell with airtel 
460	0	ssmusoke airtel after they say there is g everywhere grin 
462	0	airtel on my options there is gb for yet i want gb 
463	0	airtel which g experience really fuck busega is running on g airtel wake up 
464	0	airtel the way airtel consumes data as if they give it you for free 
466	0	airtel i have never seen an upgrade causing more connectivity or total loss of service than the airtel g sim upgrade 
470	0	excuse me airtel i have spent k on data this morning and my data is getting used up mysteriously why i just loaded a gb two hours ago and it got done and dont tell me my phone has an issue coz this is the first time pout angry 
474	0	as unreliable as airtel internet confused 
475	0	still wondering if this airtel g everywhere works in mabira we tired of lies 
476	0	am here trying to upload a mb whatsapp status video for the past hours all in vain is g only in karamoja because kampala seems to be on either edge or gprs airtel uccofficial 
478	0	airtel internet has been terribly bad for days now whats up 
479	0	airtel angry pout you guys network sucks am in kamapla kitintale zone and trust me its a hustle its disgusting to be strained by such a network which claims to be country wide when they cant even facilitate a suburb in kampala style up guys 
483	0	tf is wrong with airtel internet 
484	0	airtel you list nightly gb bundle in yo offers i select and purchase it at pm here in uganda i try connecting my modem amp accessing internet all in vain and your alert sms comes saying your nightly bundle is valid from am tell me yo 
489	0	kagutamuseveni airtel their data is little 
490	0	kagutamuseveni airtel did they also tell you how their data bundles run like bullets 
492	0	kagutamuseveni airtel your heinternet is very expensiveintervene sir 
494	0	airtel buying data for k mbs but beerako mb cost k lwaki mutuba 
495	0	airtel your freak friday packages are shitty data cant stream shit 
497	0	how i finish airtelugs freaky friday data in over a day and a half is beyond me 
499	0	kagutamuseveni airtel g network means wat in busiawhen our data is always at volume 
549	0	mr mtn this pulse data apaana the thing slows down like am using airtel yet i know mtn internet its the fastest network alongside a few others now mb for k causes me to plead fo my phone to google should go back to normal mb for k ebyobwelele byayanga 
554	0	airtel g is on and off 
587	0	airtel please ur network sob we are fade up 
591	0	ttituskayz airtel at first they copied whatever warid telecom did now theyre copying whatever mtn is doing i doubt these guys will have full g coverage before mtn does 
602	0	airtel today have tried to subscribe but i get a notification that my number can not be categorized 
606	0	airtel your cheat us data 
608	0	airtel please do something about the network in kisaasi its too bad nothing like g thankyou 
609	0	network is not ok mr airtel i cant load even videos am in kampala using g network 
610	0	yesterday i decided to load freak friday of airtel but your network is very slow man haha imp smilingimp 
611	0	airtel please do something about the internet connection its too slow ill join g soon okay 
612	0	but airtel what is this trend of me loading my data package and three minutes later it has run out even without me using it persevere 
613	0	airtel is this really g speed 
614	0	hello airtel how come i cant subscribe for data pakalast now yet i have been using it before 
618	0	esthercarol airtel network is slow and calls are jammed up 
619	0	airtel very slow internet connection since tuesday 
621	0	you know net work of airtel whether calling or internet is a mess throughout 
625	0	airtel is something wrong with mobile internet 
626	0	airtel internet is a lie especially their dont ask me to dm mwebereremu just cc mdairtelug 
628	0	something is clearly wrong with airtel internet guys whats happening am struggling is this the g you keep talking about 
630	0	airtel g internet is all over the country amp fastest in africa according to adverts but cant even show pictures in the capital city kampala but in reality no way airtel 
631	0	lets not lie to each other airtel internet isnt g 
632	0	airtel nothing freaky on the g speeds i wasted my money when nothing loads 
633	0	airtel even the weakest g of mobile phones has failed and now you rushing to a g router airtel why are you choking on yourselves 
635	0	airtel and even the bonus on airtel data recharge is no longer available please also rectify this 
636	0	i cant really understand the purpose of g when even g was better airtel mwetereeze 
638	0	kibaxo immediately took a screenshots of the complaintjust imagine how thy load pix u can see anything airtel wake up not only chewing our data 
639	0	adickrogers airtel how can a g network fail to load mere whatsapp status just regretting y i upgraded 
646	0	akramzjr airtel i think its time to move on to another network what hurts me is my data is to expire on saturday so i have to wait sob 
649	0	airtel why is network so poor u keep advertising g wt kind of fake g is this upgrade ur services v 
650	0	uccofficial is it okay to sue airtel for misleading its customers with this false g network coverage allover the country campaign 
651	0	airtel your internet is shitty this evening what is the problem 
656	0	esthercarol airtel i thought i was alone imagine buying gb data and you cant even watch a min fb video and if god helps and it plays it keeps on buffering every second 
657	0	ninyemusinguzi airtel not on that mediocre internet disguised as g most of my work is online im not into calls 
661	0	airtel mwefuge whats wrong with your internet network 
673	0	just in case you want to ask google for answers during a test dont use airtel internet itll bring the answers after the paper 
677	0	airtel seriously whats happening to the network connection its on and off i thought it was just me but then my friends also having the same problem thinking 
678	0	airtel why is it that i cant access this service 
681	0	airtel this is how your network is in reality compared to your lies and most annoying it will then show that its depleted before even expiry weary 
686	0	airtel network has become so bad lately dropped calls many poor network zones slow internet even on g somethings def not right 
695	0	dear airtel yo services aint available in g town and vicinity all i am receiving is emergency what befell the hyped g cc uccofficial 
697	0	airtel has the worst network in the world these days 
700	0	airtel everything calling internet even sending a mere text message is a tag of war are you punishing us for not swapping our cards 
725	0	airtel the link provided still has issues any update on this 
729	0	isnt g meant to be the superfast airtel what is not happening it feels like the g symbol on my device is a hoax 
794	0	airtel i have failed to load prepaid calls is there a problem with 
802	0	airtel kindly help activate my line bought it yesterday still unable to make calls it is showing me call barring thank you 
871	0	airtel just give us data bundles we can buy our minutes increase the data and take the minutes off 
905	0	marvinjmulindwa deryckpro war against airtel 
907	0	airtel buh surely you guys why do you give us data n then offer the shittiest network so we cant use itmutama kale 
930	0	airtel bambi sob this network connection makes me want to weep 
931	0	airtel i just bought a new sim card from kisementi branch like threefour hours ago but i still can not use the simcard it keeps on saying that i can not use this number the number please help thank you 
932	0	airtel its now past hrs buh ma sim card has refused working unamused 
934	0	airtel nokia but i doubt thats the issue here my other lines work just fine just fix your network guys 
936	0	aleksmyco airtel its the worst networktako 
937	0	yooo airtel at this rate feel free to disconnect my line you have the most shittiest network but ba guy mweteleezi smirk 
938	0	airtel why is your network so crappyjust as i was completing my download u just go and kill it so i cant even enjoy that which i have purchaseddenairtelug 
942	0	airtel we got poor network connection here in namungoona kampala please upgrade it its horrible 
943	0	i found my airtel network on egde or g while in equity bank wandegeya on sunday may at pm and unable to connect thats two levels below the touted g all over uganda 
977	0	is it only me without airtel network or its a general problem in entebbe 
980	0	stevebuk airtel just a bunch of thieves 
1005	0	airtel dimwits can you stop stealing peoples airtime 
1006	0	airtel how can u block me even before the th that u said do u want me to quit yo network do u kno why l havent reverified yet my sim card is yo network meant to torture us this much 
1007	0	after years of loyalty airtel blocks my line what a bunch of creepy traitors 
1016	0	airtel please work on yo finger print scansi wonder how ma finger prints cant match wit thr one on my national idreallynonononwhat am sure of finger prints dont changenow i wonder what some of us can do n the numbe rs have been switchedget real 
1018	0	airtel is charging cash to make a photocopy of the id during sim verification pioneer mall service centre assuming they have m subs thats a clean bn made tax free urauganda atleast inform your customers to come with their own photocopies this is robbery 
1021	0	so airtel decided to make a fool out of me today perhaps as the do to so many ugandans all day everyday and telecom companies cheating us is not what is surprising but how arrogantly they do it perhaps uccofficial is supposed to be looking into this a thread 
1033	0	kipxiss airtel man thuggery just 
1034	0	airtel your internet has been unstable since monday but voice calls are ok 
1035	0	airtel please work on your poor internetnetwork i personally opted out on this promotion as wasnt experiencing value for money 
1037	0	airtel ur internet is so fucked up these days too slow smilingimp do something about it otherwise 
1039	0	airtel hi airtel since the day i swapped my line to g the network especially on internet has been very poor in fact the worst b swapping my line how can i get out of this pliz 
1042	0	dear airtel i still need a vivid and sensible explanation of where my gb data is if i need to boost this tweet and my facebook post i will have to 
1043	0	airtel doesnt understand value for money they stole my gb data fwaaaa they kept quiet i got receipts they kept quiet 
1044	0	baby boy we are here airtel is busy stealing our data in broad day light and hiring stupid people to tell us we dont know how to use our phones 
1048	0	airtel for two nights now am unable to access uninterrupted internet 
1051	0	airtel what did i do to you to give me a very poor connection tonight 
1054	0	am disappointed with airtel bse of your unclear recommendations and this must cease because you know we gat diverse alternatives i went to wandegeya to upgrade my simcard to g and you pledged gb data after paying my k i saw nothing 
1055	0	airtel is there any way i can boost my internet speed just moved to a new place and the network is so bad i cant even see peoples avis on twitter or load whatapp status my phone is g enabled btw 
1056	0	airtel the internet is too slow in mengo in that it can not even load a page this has been happening for the last weeks i dmed you but you ignored my messages please act o it 
1057	0	airtel cinemaxacacia you data network is not stable at all is that how g behaves 
1058	0	in uganda everything is possible when mtns g is better than airtels g network mtn airtel 
1063	0	airtel g is fake for once give us some good internet i wouldnt want to pull a bugiingo on you please dont make me airtel 
1064	0	airtel dear airtel today your g network is limping i do not know what has happened to our star g network thank you you can pm for explanations 
1065	0	airtel i might have to put the yellow sim card back in the phone when was the last time a person survived on e i bought a bundle that i have not enjoyed as i wished to fix the network 
1066	0	airtel my airtel simcards data stopped working earlier today saturday i have a working bundle and tried changing phones but still not working 
1069	0	fgoloobamutebi apparently airtel has been peddling lies about its g everywhere 
1143	0	airtel my number cant make calls but can receive yet its verified cant even call customer carewhats going on 
1145	0	airtel so you have switched off my number i can not even call customer care or remove my mobile money do i leave you with your number and my money or do i have the opportunity to go through your capricious reverification process 
1147	0	favoredogwal airtel they blocked my outgoing calls man 
1154	0	airtel my number is blocked from making calls yet registration status shows verified is this because i want my data back 
1169	0	airtel why cant i make and receive calls yet i verified my number 
1172	0	irenentale africell africell wakiri airtel can tell you have used of your data when your actually using mtn for internet 
1224	0	susannambejja airtel mine is shittier 
1227	0	airtel paid ott but its not working 
1232	0	airtel so u decided to chew ma money without a service or its making profit that you will reward me eeeeeeh guys now weeks u dont care about ua clients or its habit 
1233	0	airtel stop stealing from us thank you 
1234	0	airtel meu transaction was done to my airtel line but it hasnt reflected ps phone with airtel line cant take screenshots 
1236	0	airtel okay someone shared airtime with me meu but its not reflecting on my airtime balance yet the confirmatory msgs have been received by both me and my colleague unfortunately i dont have screenshots for the msgs since my airtel phone cant take screenshots 
1238	0	airtel lets see who looses at the end coz am going to get a new line and for you are going to make a loss 
1242	0	airtel mugenda kunoonya abasasuula the good thing my contact s are backed up on my google account 
1264	0	airtel please check your dm my data didnt carry forward despite buying the same bundle before expiry respond before i brand you as fraudsters 
1265	0	airtel fkuteesa you chew datai should opt for africelli cant put up with you people slightlyfrowningface 
1268	0	am the only one with buffering airtel internet as though a vpn with clogged servers 
1278	0	airtel what did you do to our pakalast bundle k is now useless 
1280	0	airtel ive seen the reward youve gave me as a result of being a good customer you decided to increase my voice and data charges and ive decided to stop henceforth any recharge activity until when the situation will normalise good luck 
1314	0	airtel your minutes are useless because u chop them at a rate of mins per normal minute so those so called minutes in essence are only mins so stop fooling ugandans with minutes coz u chop them so fast thuggery 
1342	0	is it just me or are both africell and mtn ug proclaimed glte data connection very shitty lately mtn africell 
1343	0	airtel your network sks really you buy mbs but the phone keeps roaming just 
1363	0	aaronacuda airtel mbs cant download a mb whatsapp video 
1364	0	airtel this whole thing is a lie give me back my g sim 
1365	0	i paid my weekly ott to airtel yesterday at pm it came through at about am this morning twabakola ki bayindi mwe 
1366	0	airtel says a company with poor g network 
1367	0	airtel i cant use internet without ott and i have tried calling you several times but all you tell me is restarting my phone and activating airplane mode and you telling me to take my phone to your service centers my phone has no problem as mtn works fine 
1372	0	mwana africell lero sibategede the internet is slow more than that for airtel thinking 
1376	0	airtel fuck i want my money now pout 
1377	0	airtel mwana mwebelelemu the way u consume data z abnormal lyk day i hv subsribed a certain amount of data bt be i started using itur already telling me dat i hv already used so airtel check ur services or else ur loosing clients thank you 
1378	0	airtel hello there i seek explanations for what i have been experiencing for the last two weeks my internet connection will be on h but i have no internet connection access whatsoever move round the country but still experiencing the same problem always on and off 
1379	0	uve got this whole volume but i cant use it what went wrong airtel 
1383	0	the way airtel chews data raisedhands africell i need a new simcard u blocked my old one confused 
1389	0	airtel with the way u chew our data am even afraid of leaving tje line in my phone joy 
1392	0	airtel kakatshozi bigger bundle en better internet not this crap ov lavish g commercials when the actual internet is a fake as the central african republic 
1393	0	hmmm airtel how can you give us only gb for this long weekend we are about to have how why do you hate us that much what did we ever do to you youre making us look bad to the other people with africell 
1398	0	airtel giving us mob data didnt mean you reduce the speed to a snail speed this is so annoying some of us are rethinking our options 
1402	0	so people of airtel are telling us they have g network laughable this speed is terrible just here in kampal 
1403	0	airtel whats wrong with your network here ready to live stream the ucl final but its not loading 
1406	0	airtel we cant even live stream a match improve your internet services please otherwise we pay for substandard service at a big cost consider satisfaction to clients no be greedy for only profits 
1407	0	airtel the number is already dmd but i dont think its just my number every one is complaining about a slow internet ever since you doubled the quantity of the data you give out these days 
1408	0	airtel mwebelelemu i couldnt even stream seconds of the damnyou 
1410	0	hi airtel i just need to understand what i hve used my gb bundle of data for your automated team to inform how its about to lapse mark you i loaded this data today at pm dont be bringing back anger you guys stole my k i ignored not my data thank you 
1411	0	eugenegena airtel i feel your pain girl mbs of mtn take me the whole day airtel gb barely lasts hours customer care tells me my phone is updating 
1412	0	we unanimously agree that airtel g is terrible so i ask which network has the best g connectivity 
1413	0	airtel is it only me or have received more feedback that your g is not working 
1414	0	sometimes whats wrong with airtel data u a gb after minutes its gb u wonder where the mb have gone airtel am really tired 
1415	0	airtel why isnt my g line not working since friday and am currently using the g one thinking explain this to me 
1418	0	airtel kindly revise your internet packages i always buy gb for days at k and these days it doesnt even last one day and i dnt really do anything outside what i was doing before feel ko for your clients 
1419	0	airtel why is it that am experiencing a very unstable extremely slow internet download n upload speeds this morning ate dont tell me to restart ma phone coz v done it many times pensive 
1420	0	airtel why is it that our data bundles disappear within minutes of purchasing them down to already when all ive done is check my whatsapp and emails theres always a season after every few weeks when this happens which is suspicious whats going on uccofficial 
1421	0	airtel your internet today is too slow 
1422	0	airtel nedda youve now taken us back to the days of dialup internet mutuliisa bubi data waffe namwe 
1423	0	dear airtel must i stand outside my house in this cold weather all in the name of accessing internet nothing changed inside my house 
1427	0	airtel your network is getting poorer each and every time i am really getting so dissatisfied with the internet services sob oh menh i am trying to hold on but then it just keeps getting worse 
1428	0	am totally done with airtel internet mbu g network just a bunch of frauds mtn thinking 
1429	0	airtel mdairtelug we kindy need help with your upgrade to g it seem miserable the g the internet speed is like a not upto standard why are u still advertising g instead of g 
1431	0	but airtel your internet weary 
1434	0	africell your internet is always blacking out you are becoming airtel in disguise mutelele 
1436	0	their competitor airtel s data expires in days problem is their network is too fake mtn needs abetter competitor to take them out of business 
1451	0	kennifordz airtel airtel its high time u be serious coz we are tired of ur fake services style up plz confused 
1477	0	zuchukwuokorie airtel and those mfs dint even get back coz im not an influencer shame 
1486	0	airtel please help me understand why ill use seconds and have minute less why your freaky friday bundle is soooooo slow why your network keeps breaking thank you 
1488	0	airtel g is a lie and scam super slow i cant even load tweets and picture do tell me to restart or clear my cache that is the solution they give if you call customer services and switching data off and on 
1489	0	when youre trying to make a skype video call on airtel network if you listen closely youll hear the people at their service centre laughing at you 
1490	0	for a g isp you have the worst service on this planet airtel someone really needs to burst your bubble 
1491	0	airtel network its either i lose connectivity or its too slow 
1493	0	good afternoon airtel thank you for being with the worst internet connection around the town 
1497	0	get daily gb shs at airtel data mypakalast with how slow airtel internet iseven g if you gave me gb worthy of data at shs i wouldnt take the offer its sickening do something 
1500	0	airtel why is there very poor internet access in seeta kiwanga area its been slow for weeks plz 
1501	0	airtel so far it has took weeks after complain of failure internet but what the purpose 
1503	0	airtel winyititus upgraded to g and internet was too damn slownot trying to decampaign your services but seriously you need to up your speed game internet is too damn slow thats if it successfully connects 
1506	0	your internet is such this shit we can not watch live streams in the middle of the night airtel wtf greyexclamation yall top notch trash 
1508	0	airtel yes whenever i step in my house for sure u need to upgrade your internet this side 
1509	0	airtel g unlimited everywhere is overrated airtel 
1510	0	airtel who can i speak too when it comes to data connectivity for an average ugandan am investing heavily in data but the returns are not pleasing at all immediate help needed 
1533	0	ahabwethoughts airtel was aski because am contempl getting one naye if it also has slow inter issues i might just not 
1536	0	airtel internet connection very bad 
1546	0	ugaman some of us dont even know i top us gb for k per month from airtel and it runs out a few days to the end of the month its super fast for me i think speed also depends on your location and size of the webpages you are loading mtn amp africell were a mess for me thumbsdown 
1553	0	airtel my data is so slow and sometimes my phone show no internet connection yet data is running is it a general issue or it can be sorted 
1554	0	airtel the way you consumed my data this past freaky friday was ridiculous imagine in a single day gb data was done this is witchcraft airtel please advise 
1555	0	ugaman airtel come see this people are complaining you consumed data like you are making us pay for what we had used previously imagine i used the gb in just a day without any download 
1557	0	i think i have to wait for airtel freaky friday data to watch the doc bulungi this is so appalling we love our nation so much yet people in the system do not but why disappointedrelieved 
1562	0	jrachkara airtel the way i am struggling with their internet connection here in gulu makes me think this post is sponsored worst i have ever experienced 
1564	0	airtel very unreliable internet connection very slow an unstable 
1568	0	ugaman very true yesterday i loaded gb of airtel data and minutes later i had used airtel issa scam 
1569	0	just after loading the data youll be told that you have used of your mobile data that is airtel for younze nagikowa daa uccofficial waiting for your action 
1570	0	there is no problems he uganda communications commission carrying out an audit on all the telecoms as regards their data bundles but first let uccofficial do its part on airtel there is a serious concern 
1571	0	airtel please with your high level of my data depletionyou go ahead to give permission third party to disturb my peace stay away from my line 
1590	0	airtel that slow thing is not g ffs 
1611	0	its okay to have issues with uo network what is not okay is u claiming everything is okay for most hours of today yet since morning uo network has been reminiscent of airtel 
1617	0	airtel this is fine but the network sometimes is not ok 
1627	0	i really dont know but airtel you network is really poor grimacing pout in areas of kabalagala kansanga i bought my data but it has become useless i am being forced to buy data and load to mtn worried 
1628	0	pliz pliz people of airtel its not good to always advertise your freaky friday thing and when i respond positively you slow your network like nothing what kills me is seeing g thing on my network bar anguished 
1629	0	airtel whats wrong with your g network in masaka region 
1630	0	airtel how long does it take you to reconnect my number i verified my line on thursday evening but until today youre still not activating my number thinking 
1631	0	airtel your network is off 
1633	0	hey airtel please fix my network 
1634	0	airtel ive no network since morning cant access internet or calls 
1646	0	dear airtel what did the people of kyotera and neighbouring areas do to you we can neither make nor receive calls bcoz of network are you saying that we should look for other networks to do our things 
1652	0	my airtel network still off looks like it is a location problem airtel has left my dms on read called my gal barbiebernards to buy me ott my nd phone w mtn line of shs amp she refused apparently she exempted herself from ott amp thanks her am vpning 
1657	0	airtel are u aware that your signal is off in kyotera i have my gbs still on but cant use them i hope i will be compensated when u put the signal back on 
1698	0	nd da network iz fuckn so poor airtel 
1707	0	airtel whats up with your network subscribed data twice and all im getting is thisyet money is being deducted 
1717	0	airtel my apologies but your network is bad my friend have tried to reach u so u can help me rectify it but all in vain and i tried mtn which proved to be better what else could i say just work on your thing and we will give u the stars you deserve 
1718	0	airtel why is your network so poor here in buloba and even in nkumba before i answer your question 
1722	0	airtel its not stable too weak when someone is talking on phone it continues to be jumpylike someone can hardly hear the other party then on data after loading it cant work in most parts yet you bought ur data to do something 
1723	0	airtel but why now days the network is poor 
1748	0	airtel the internet is really slow i cant even download the lightest of images and documents 
1750	0	am i the only one whose airtel internet is just flying off these days flushed 
1753	0	airtel i have paid for data but i havent received any message of receipt or activation kindly advise 
1755	0	airtel i wish you could give us a fixed offer one week its gb and the other week is gb 
1756	0	airtel has to be the worst internet provider youre internet travels fasrer than lightning untouched smh 
1759	0	airtel surely it wld be better to give us fixed offer of gb i am one of this people who cant do while without freaky friday bundle on a weekend 
1763	0	airtel how do you explain gb getting done in just minutes you guys take loyal customers for granted how does one load airtime only for it to get done even before serious usage muleke tufula basiru mwetereze otherwise youll lose customers 
1770	0	airtel data matter to resolve on gb monthly on th june to expire on th july expired th june gb weekly on th june to expire th july according to message received did not show on your system and expired today th july help 
1783	0	airtel easy to buy data on but its hard using it have two lines of airtel naye its high time i think of balancing the boat 
1798	0	airtel thats much y cant voice bundles call across all network 
1811	0	airtel why sob i slept with mb and woke up to find only mb why did i download my dreams from youtube airtel why sweat 
1818	0	guys do you know tht among other factors that can make some one shift from his or her residence poor network is among just shifted here a month ago but network kiganye mtn airtel 
1826	0	airtel i dont have any service after i cross over to the kenyan side ive always had no issues until recently please assist 
1834	0	airtel whats wrong with your network in masaka persevere 
1853	0	dear airtel the network in bunamwaya near makutano health center is terrible i am currently seated outside just to send out this tweet 
1860	0	dear airtel the network in bunamwaya is still terrible and am not the only one complaining this case has not been resolved 
1862	0	airtel videos wont loadmessages take hours to be delivered my network bars are full tho but its acting otherwise thank you 
1881	0	airtel check your network before you tell your bulshit 
1888	0	airtel i did share my details but akuna 
1889	0	mtn and airtel airtime in mbarara has an additional cost of shs pensive am disturbed 
1894	0	airtel service has been reallly crappy lately whats going on 
1900	0	airtel but why is it that your data runs very first oflate we used to use gb a month but now we use gb in just two days and its done 
1901	0	i have a feeling that when you buy airtel data bundles you use them with a lot of its staff can you imagine gairtel bundle cant work for days time 
1902	0	airtel it is slow afi cant use my datacurrently on wifi 
1906	0	airtel besides freaky friday wic we appreciate other data rates are sucking evn airtel money data you put offers inside but yet nothing is rewarded yo no longer give us the bonus ate mtn gives data bonus 
1909	0	hey airtel if u cant really give us the freaky friday bundles even after chopping the money just tell us 
1914	0	airtel agents but me also havent seen my data 
1916	0	airtel can you please do something about your internet if its not too much to ask 
1920	0	airtel surely if one can not even ssh into a cloud based server what kind of connection is this how is your service helping us to get into midro income status 
1923	0	airtel you people are just matako butakochewing my data like its your ownkumanyonko zenu 
1925	0	airtel what happens to your internet speeds on weekends webpages can take about minutes to load or even not load at all 
1926	0	what makes data so expensive in uganda i was in india and airtel india at rupees equivalent to k they give gb everyday for months airtel am looking for an answer 
1927	0	mmetho airtel i dont know for sure on that rupees in india you have data every day and can even call across all networks messages each day for months i thought airtel india is a partner we want to know all the reasons why things are bad here 
1928	0	joashaba airtel my brother could you try mtn or africel no hopes in the airtel data uganda 
1929	0	airtel it is toooooo slow buffering 
1932	0	airtel hello since you been robbing people of their dataam here to help you for a weekendi have gbs on my phone and willing to give data to your clients freelyforward any numbers and i start 
